Date,Open,Adj Close,High,Close,Volume,Low
2015-01-02,132.98,122.3098,133.4899,132.09,622175.0,130.71
2015-01-05,130.78,118.3838,131.3,127.85,1068604.0,127.21
2015-01-06,127.83,115.1985,128.22,124.41,1307628.0,123.48
2015-01-07,125.75,117.2448,127.04,126.62,1271145.0,124.81
2015-01-08,128.53,119.3283,129.37,128.87,1681386.0,127.75
2015-01-09,129.33,118.2264,129.62,127.68,833623.0,127.26
2015-01-12,127.52,117.0226,127.69,126.38,908783.0,125.42
2015-01-13,128.13,117.8745,129.93,127.3,1177656.0,126.32
2015-01-14,124.9,115.717,125.66,124.97,1199916.0,123.12
2015-01-15,125.13,113.7632,125.65,122.86,889283.0,122.73
2015-01-16,122.96,115.43,124.74,124.66,935180.0,121.49
2015-01-20,125.0,115.8929,125.87,125.16,1020628.0,123.83
2015-01-21,125.16,116.9856,126.83,126.34,1173666.0,123.84
2015-01-22,127.19,120.5876,130.53,130.23,1185768.0,125.93
2015-01-23,130.23,119.8931,130.5,129.48,1241656.0,128.96
2015-01-26,129.37,121.0968,131.07,130.78,1077686.0,128.7001
2015-01-27,129.05,119.4579,130.12,129.01,717523.0,127.98
2015-01-28,129.99,117.0319,129.99,126.39,1444186.0,126.285
2015-01-29,129.06,118.7634,130.14,128.26,1637686.0,126.35
2015-01-30,127.13,115.6892,127.81,124.94,1367885.0,124.77
2015-02-02,125.88,119.2264,128.93,128.76,1173603.0,124.63
2015-02-03,129.81,122.708,132.66,132.52,1338162.0,129.4
2015-02-04,132.35,122.1154,133.24,131.88,1274150.0,131.33
2015-02-05,131.4,123.208,133.08,132.48,916064.0,130.75
2015-02-06,133.55,125.3563,136.445,134.79,1316497.0,133.55
2015-02-09,134.54,125.2633,134.88,134.69,857378.0,133.51
2015-02-10,136.3,126.6398,136.46,136.17,909128.0,135.22
2015-02-11,135.94,126.7049,136.66,136.24,858598.0,135.19
2015-02-12,136.24,127.9418,137.69,137.57,755897.0,136.16
2015-02-13,137.65,128.165,138.19,137.81,702334.0,136.86
