,date,DX
200,2000-11-14,9.3882
201,2000-11-15,12.8948
202,2000-11-16,14.9539
203,2000-11-17,10.0009
204,2000-11-20,1.0001
205,2000-11-21,3.7751
206,2000-11-22,1.532
207,2000-11-24,2.0846
208,2000-11-27,8.6779
209,2000-11-28,5.4319
210,2000-11-29,16.1404
211,2000-11-30,30.6523
212,2000-12-01,32.5016
213,2000-12-04,34.2107
214,2000-12-05,28.314
215,2000-12-06,32.8483
216,2000-12-07,39.8192
217,2000-12-08,32.666
218,2000-12-11,22.5878
219,2000-12-12,18.462
220,2000-12-13,16.8068
221,2000-12-14,20.1651
222,2000-12-15,34.9202
223,2000-12-18,36.1414
224,2000-12-19,40.0861
225,2000-12-20,44.5832
226,2000-12-21,40.561
227,2000-12-22,33.6347
228,2000-12-26,28.8559
229,2000-12-27,30.4666
230,2000-12-28,32.5136
231,2000-12-29,34.1176
232,2001-01-02,34.3416
233,2001-01-03,20.4074
234,2001-01-04,15.1578
235,2001-01-05,15.1578
236,2001-01-08,17.3033
237,2001-01-09,7.804
238,2001-01-10,4.1659
239,2001-01-11,1.582
240,2001-01-12,1.582
241,2001-01-16,2.6225
242,2001-01-17,1.6919
243,2001-01-18,5.6553
244,2001-01-19,19.3686
245,2001-01-22,19.3686
246,2001-01-23,19.1493
247,2001-01-24,25.1785
248,2001-01-25,26.4714
249,2001-01-26,24.2121
250,2001-01-29,24.9929
251,2001-01-30,22.3395
252,2001-01-31,14.576
253,2001-02-01,12.1063
254,2001-02-02,14.4543
255,2001-02-05,12.3482
256,2001-02-06,17.9131
257,2001-02-07,21.6531
258,2001-02-08,21.6531
259,2001-02-09,6.5867
260,2001-02-12,1.6278
261,2001-02-13,7.2452
262,2001-02-14,0.7061
263,2001-02-15,4.8585
264,2001-02-16,1.5168
265,2001-02-20,4.1459
266,2001-02-21,4.8235
267,2001-02-22,9.4679
268,2001-02-23,6.5842
269,2001-02-26,2.9338
270,2001-02-27,7.3934
271,2001-02-28,5.4353
272,2001-03-01,2.1543
273,2001-03-02,2.1543
274,2001-03-05,0.0966
275,2001-03-06,5.3993
276,2001-03-07,9.7038
277,2001-03-08,5.8022
278,2001-03-09,8.2525
279,2001-03-12,18.6386
280,2001-03-13,18.6386
281,2001-03-14,16.3925
282,2001-03-15,12.6654
283,2001-03-16,16.1392
284,2001-03-19,14.4017
285,2001-03-20,11.4142
286,2001-03-21,21.3033
287,2001-03-22,17.4226
288,2001-03-23,4.6332
289,2001-03-26,2.632
290,2001-03-27,1.569
291,2001-03-28,0.4542
292,2001-03-29,3.7635
293,2001-03-30,6.4774
294,2001-04-02,3.1018
295,2001-04-03,10.5817
296,2001-04-04,16.6686
297,2001-04-05,5.9747
