,date,MACD_Signal,MACD_Hist,MACD
154,2000-09-28,-2.0599,-0.4096,-2.4695
155,2000-09-29,-2.1586,-0.3948,-2.5534
156,2000-10-02,-2.2637,-0.4204,-2.6841
157,2000-10-03,-2.4032,-0.5578,-2.9609
158,2000-10-04,-2.5692,-0.6642,-3.2334
159,2000-10-05,-2.7383,-0.6765,-3.4149
160,2000-10-06,-2.8914,-0.6123,-3.5037
161,2000-10-09,-3.0417,-0.601,-3.6427
162,2000-10-10,-3.1695,-0.5111,-3.6806
163,2000-10-11,-3.2503,-0.3231,-3.5734
164,2000-10-12,-3.3118,-0.2462,-3.558
165,2000-10-13,-3.3606,-0.195,-3.5556
166,2000-10-16,-3.4448,-0.3372,-3.782
167,2000-10-17,-3.5382,-0.3734,-3.9116
168,2000-10-18,-3.6033,-0.2606,-3.864
169,2000-10-19,-3.4776,0.503,-2.9746
170,2000-10-20,-3.178,1.1982,-1.9798
171,2000-10-23,-2.8268,1.4049,-1.4219
172,2000-10-24,-2.4652,1.4463,-1.0189
173,2000-10-25,-2.1145,1.403,-0.7115
174,2000-10-26,-1.7332,1.5251,-0.2081
175,2000-10-27,-1.297,1.7449,0.448
176,2000-10-30,-0.8244,1.8905,1.0662
177,2000-10-31,-0.3548,1.878,1.5232
178,2000-11-01,0.1009,1.8229,1.9237
179,2000-11-02,0.5348,1.7358,2.2707
180,2000-11-03,0.8983,1.454,2.3523
181,2000-11-06,1.2165,1.2726,2.4891
182,2000-11-07,1.5027,1.145,2.6477
183,2000-11-08,1.7336,0.9236,2.6573
184,2000-11-09,1.9366,0.8119,2.7485
185,2000-11-10,2.0512,0.4583,2.5095
186,2000-11-13,2.0849,0.1346,2.2195
187,2000-11-14,2.0991,0.0569,2.156
188,2000-11-15,2.1156,0.0659,2.1814
189,2000-11-16,2.1099,-0.0228,2.0871
190,2000-11-17,2.0877,-0.0887,1.999
191,2000-11-20,2.0218,-0.2637,1.758
192,2000-11-21,1.9362,-0.3423,1.5939
193,2000-11-22,1.8464,-0.3594,1.487
194,2000-11-24,1.7813,-0.2602,1.5211
195,2000-11-27,1.7431,-0.1528,1.5903
196,2000-11-28,1.6609,-0.3288,1.3321
197,2000-11-29,1.5207,-0.5609,0.9598
