Date,Open,Volume,Adj Close,Close,High,Low
2016-01-04,2038.2,4304880000.0,2012.66,2012.66,2038.2,1989.6801
2016-01-05,2013.78,3706620000.0,2016.71,2016.71,2021.9399,2004.17
2016-01-06,2011.71,4336660000.0,1990.26,1990.26,2011.71,1979.05
2016-01-07,1985.3199,5076590000.0,1943.09,1943.09,1985.3199,1938.83
2016-01-08,1945.97,4664940000.0,1922.03,1922.03,1960.4,1918.46
2016-01-11,1926.12,4607290000.0,1923.67,1923.67,1935.65,1901.1
2016-01-12,1927.83,4887260000.0,1938.6801,1938.6801,1947.38,1914.35
2016-01-13,1940.34,5087030000.0,1890.28,1890.28,1950.33,1886.41
2016-01-14,1891.6801,5241110000.0,1921.84,1921.84,1934.47,1878.9301
2016-01-15,1916.6801,5468460000.0,1880.33,1880.33,1916.6801,1857.83
2016-01-19,1888.66,4928350000.0,1881.33,1881.33,1901.4399,1864.6
2016-01-20,1876.1801,6416070000.0,1859.33,1859.33,1876.1801,1812.29
2016-01-21,1861.46,5078810000.0,1868.99,1868.99,1889.85,1848.98
2016-01-22,1877.4,4901760000.0,1906.9,1906.9,1908.85,1877.4
2016-01-25,1906.28,4401380000.0,1877.08,1877.08,1906.28,1875.97
2016-01-26,1878.79,4357940000.0,1903.63,1903.63,1906.73,1878.79
2016-01-27,1902.52,4754040000.0,1882.95,1882.95,1916.99,1872.7
2016-01-28,1885.22,4693010000.0,1893.36,1893.36,1902.96,1873.65
2016-01-29,1894.0,5497570000.0,1940.24,1940.24,1940.24,1894.0
2016-02-01,1936.9399,4322530000.0,1939.38,1939.38,1947.2,1920.3
2016-02-02,1935.26,4463190000.0,1903.03,1903.03,1935.26,1897.29
2016-02-03,1907.0699,5172950000.0,1912.53,1912.53,1918.01,1872.23
2016-02-04,1911.67,5193320000.0,1915.45,1915.45,1927.35,1900.52
2016-02-05,1913.0699,4929940000.0,1880.05,1880.05,1913.0699,1872.65
2016-02-08,1873.25,5636460000.0,1853.4399,1853.4399,1873.25,1828.46
