,date,EMA
201,2000-11-14,66.3006
202,2000-11-15,66.6586
203,2000-11-16,66.8759
204,2000-11-17,67.0839
205,2000-11-20,67.094
206,2000-11-21,67.1565
207,2000-11-22,67.2606
208,2000-11-24,67.5158
209,2000-11-27,67.8181
210,2000-11-28,67.7402
211,2000-11-29,67.4849
212,2000-11-30,66.5226
213,2000-12-01,65.5804
214,2000-12-04,64.7099
215,2000-12-05,64.2499
216,2000-12-06,63.5299
217,2000-12-07,62.5394
218,2000-12-08,61.7681
219,2000-12-11,61.4149
220,2000-12-12,61.1259
221,2000-12-13,60.7568
222,2000-12-14,60.2561
223,2000-12-15,59.2022
224,2000-12-18,58.1172
225,2000-12-19,56.8499
226,2000-12-20,55.388
227,2000-12-21,54.2501
228,2000-12-22,53.5063
229,2000-12-26,52.8752
230,2000-12-27,52.2623
231,2000-12-28,51.5288
232,2000-12-29,50.7527
233,2001-01-02,50.0505
234,2001-01-03,49.8495
235,2001-01-04,49.7153
236,2001-01-05,49.6595
237,2001-01-08,49.591
238,2001-01-09,49.8023
239,2001-01-10,50.0955
240,2001-01-11,50.5626
241,2001-01-12,50.8423
242,2001-01-16,51.0059
243,2001-01-17,51.1901
244,2001-01-18,51.6006
245,2001-01-19,52.4958
246,2001-01-22,53.2228
247,2001-01-23,53.9216
248,2001-01-24,54.7805
249,2001-01-25,55.45
250,2001-01-26,56.2643
251,2001-01-29,57.0486
252,2001-01-30,57.6516
253,2001-01-31,57.9762
254,2001-02-01,58.3956
255,2001-02-02,58.6256
256,2001-02-05,58.9412
257,2001-02-06,59.2859
258,2001-02-07,59.8005
259,2001-02-08,60.0338
260,2001-02-09,59.9478
261,2001-02-12,59.8337
262,2001-02-13,59.6771
263,2001-02-14,59.5536
264,2001-02-15,59.4828
265,2001-02-16,59.2759
266,2001-02-20,58.9524
267,2001-02-21,58.6951
268,2001-02-22,58.3612
269,2001-02-23,58.2078
270,2001-02-26,58.3366
271,2001-02-27,58.4359
272,2001-02-28,58.4897
273,2001-03-01,58.5726
274,2001-03-02,58.3933
275,2001-03-05,58.3025
276,2001-03-06,58.4108
277,2001-03-07,58.6279
278,2001-03-08,58.6871
279,2001-03-09,58.4969
280,2001-03-12,57.8725
281,2001-03-13,57.5217
282,2001-03-14,57.1863
283,2001-03-15,56.8534
284,2001-03-16,56.6349
285,2001-03-19,56.4135
286,2001-03-20,56.0589
287,2001-03-21,55.4876
288,2001-03-22,55.3459
289,2001-03-23,55.4615
290,2001-03-26,55.5185
291,2001-03-27,55.7787
292,2001-03-28,55.7578
293,2001-03-29,55.7219
294,2001-03-30,55.6236
295,2001-04-02,55.6413
296,2001-04-03,55.426
297,2001-04-04,55.094
298,2001-04-05,55.2517
299,2001-04-06,55.3411
300,2001-04-09,55.5133
301,2001-04-10,55.9102
302,2001-04-11,56.3035
303,2001-04-12,56.8631
304,2001-04-16,57.2371
305,2001-04-17,57.6412
306,2001-04-18,58.383
307,2001-04-19,59.3027
308,2001-04-20,60.2263
309,2001-04-23,60.9904
310,2001-04-24,61.6152
311,2001-04-25,62.3842
312,2001-04-26,63.0266
313,2001-04-27,63.4165
314,2001-04-30,63.8292
315,2001-05-01,64.4331
316,2001-05-02,64.9404
317,2001-05-03,65.2823
