,date,CMO
190,2000-10-31,20.9386
191,2000-11-01,22.7962
192,2000-11-02,24.5138
193,2000-11-03,16.3772
194,2000-11-06,19.7277
195,2000-11-07,22.3477
196,2000-11-08,18.0486
197,2000-11-09,21.9435
198,2000-11-10,8.6406
199,2000-11-13,5.4238
200,2000-11-14,12.383
201,2000-11-15,15.8218
202,2000-11-16,11.6874
203,2000-11-17,12.0415
204,2000-11-20,5.1269
205,2000-11-21,6.9374
206,2000-11-22,8.577
207,2000-11-24,13.97
208,2000-11-27,16.2771
209,2000-11-28,2.0972
210,2000-11-29,-4.3575
211,2000-11-30,-24.3007
212,2000-12-01,-25.8892
213,2000-12-04,-26.3016
214,2000-12-05,-14.191
215,2000-12-06,-21.5352
216,2000-12-07,-28.7034
217,2000-12-08,-24.3047
218,2000-12-11,-13.0645
219,2000-12-12,-12.1211
220,2000-12-13,-14.7647
221,2000-12-14,-18.7492
222,2000-12-15,-30.9928
223,2000-12-18,-33.3064
224,2000-12-19,-38.0587
225,2000-12-20,-42.7929
226,2000-12-21,-36.3629
227,2000-12-22,-27.0501
228,2000-12-26,-25.7245
229,2000-12-27,-26.5314
230,2000-12-28,-29.9538
231,2000-12-29,-32.0453
232,2001-01-02,-32.0453
233,2001-01-03,-17.0769
234,2001-01-04,-15.5649
235,2001-01-05,-13.4368
236,2001-01-08,-13.8964
237,2001-01-09,-5.0298
238,2001-01-10,-1.9162
239,2001-01-11,4.0182
240,2001-01-12,-0.3053
241,2001-01-16,-2.9658
242,2001-01-17,-1.8097
243,2001-01-18,5.6991
244,2001-01-19,19.1794
245,2001-01-22,16.4086
246,2001-01-23,17.4076
247,2001-01-24,22.7841
248,2001-01-25,18.9153
249,2001-01-26,23.8126
250,2001-01-29,24.9026
251,2001-01-30,20.8265
252,2001-01-31,12.7999
253,2001-02-01,16.1365
254,2001-02-02,10.8273
255,2001-02-05,13.8124
256,2001-02-06,15.4472
257,2001-02-07,20.8745
258,2001-02-08,12.1908
259,2001-02-09,2.2989
260,2001-02-12,1.1554
261,2001-02-13,-0.5686
262,2001-02-14,0.0398
263,2001-02-15,1.4601
264,2001-02-16,-3.5709
265,2001-02-20,-8.1417
266,2001-02-21,-6.7634
267,2001-02-22,-10.2144
268,2001-02-23,-4.2375
269,2001-02-26,5.4814
270,2001-02-27,4.8224
271,2001-02-28,3.387
272,2001-03-01,4.6886
273,2001-03-02,-5.274
274,2001-03-05,-2.3928
275,2001-03-06,4.9121
276,2001-03-07,9.1751
277,2001-03-08,3.5459
278,2001-03-09,-5.566
279,2001-03-12,-19.416
280,2001-03-13,-11.2784
281,2001-03-14,-11.8125
282,2001-03-15,-12.7151
283,2001-03-16,-9.4072
284,2001-03-19,-10.2043
285,2001-03-20,-15.2886
286,2001-03-21,-22.762
287,2001-03-22,-7.769
288,2001-03-23,0.539
289,2001-03-26,-1.0296
290,2001-03-27,5.7501
291,2001-03-28,-2.6928
292,2001-03-29,-3.2369
293,2001-03-30,-5.3722
294,2001-04-02,-1.5436
295,2001-04-03,-9.0875
296,2001-04-04,-13.2345
297,2001-04-05,2.4165
298,2001-04-06,0.7106
299,2001-04-09,3.6079
300,2001-04-10,10.8264
301,2001-04-11,11.8156
302,2001-04-12,17.539
303,2001-04-16,12.5448
304,2001-04-17,14.4443
305,2001-04-18,24.3462
306,2001-04-19,29.9825
307,2001-04-20,31.9455
308,2001-04-23,28.9719
309,2001-04-24,26.1782
310,2001-04-25,30.9888
311,2001-04-26,28.679
312,2001-04-27,20.6415
313,2001-04-30,22.2439
314,2001-05-01,28.1131
315,2001-05-02,26.4114
316,2001-05-03,21.3225
317,2001-05-04,26.9124
318,2001-05-07,28.4313
319,2001-05-08,30.0823
320,2001-05-09,22.803
321,2001-05-10,21.0843
322,2001-05-11,18.4665
323,2001-05-14,15.4878
324,2001-05-15,13.4999
325,2001-05-16,16.4925
326,2001-05-17,11.9572
327,2001-05-18,11.5877
328,2001-05-21,14.1962
329,2001-05-22,19.617
330,2001-05-23,16.5076
331,2001-05-24,23.4444
332,2001-05-25,19.262
333,2001-05-29,16.3422
334,2001-05-30,10.5921
335,2001-05-31,10.5421
336,2001-06-01,15.223
337,2001-06-04,16.958
338,2001-06-05,23.752
339,2001-06-06,22.3624
340,2001-06-07,27.1015
341,2001-06-08,24.1405
342,2001-06-11,17.8308
343,2001-06-12,17.5956
344,2001-06-13,9.5936
345,2001-06-14,0.3383
346,2001-06-15,-3.8632
347,2001-06-18,-9.0561
348,2001-06-19,-6.7142
349,2001-06-20,3.6328
350,2001-06-21,5.6147
351,2001-06-22,0.5041
352,2001-06-25,0.6043
353,2001-06-26,6.9688
354,2001-06-27,11.5883
355,2001-06-28,18.4115
356,2001-06-29,19.4746
357,2001-07-02,6.0489
358,2001-07-03,5.3738
359,2001-07-05,-4.2959
360,2001-07-06,-14.6067
361,2001-07-09,-16.0446
362,2001-07-10,-20.6444
363,2001-07-11,-10.049
364,2001-07-12,10.776
365,2001-07-13,9.6624
366,2001-07-16,8.9529
367,2001-07-17,11.3674
368,2001-07-18,5.6094
369,2001-07-19,13.1703
370,2001-07-20,-0.9814
371,2001-07-23,-8.4138
372,2001-07-24,-11.0044
373,2001-07-25,-6.239
374,2001-07-26,-9.3808
375,2001-07-27,-13.2323
376,2001-07-30,-11.7591
377,2001-07-31,-9.9791
378,2001-08-01,-8.671
379,2001-08-02,-4.109
380,2001-08-03,-6.4707
381,2001-08-06,-9.6497
382,2001-08-07,-8.5257
383,2001-08-08,-14.7552
384,2001-08-09,-13.9329
385,2001-08-10,-11.0844
386,2001-08-13,-9.3354
387,2001-08-14,-14.5438
388,2001-08-15,-20.8033
389,2001-08-16,-12.5342
390,2001-08-17,-23.2104
391,2001-08-20,-18.6482
392,2001-08-21,-25.4517
393,2001-08-22,-25.8596
394,2001-08-23,-30.9628
395,2001-08-24,-15.0967
396,2001-08-27,-13.8088
397,2001-08-28,-19.532
398,2001-08-29,-21.25
399,2001-08-30,-31.6291
400,2001-08-31,-31.025
401,2001-09-04,-33.7875
402,2001-09-05,-24.7111
403,2001-09-06,-29.957
404,2001-09-07,-31.7611
405,2001-09-10,-20.2934
406,2001-09-17,-33.3701
407,2001-09-18,-26.7606
408,2001-09-19,-27.96
409,2001-09-20,-35.6287
410,2001-09-21,-37.9752
411,2001-09-24,-27.2774
412,2001-09-25,-29.0646
413,2001-09-26,-31.6303
414,2001-09-27,-32.4049
415,2001-09-28,-26.5158
416,2001-10-01,-23.5518
417,2001-10-02,-17.6553
418,2001-10-03,-4.4164
419,2001-10-04,-3.6061
420,2001-10-05,1.3083
421,2001-10-08,2.5251
422,2001-10-09,-10.1548
