Date,Close,High,Volume,Open,Adj Close,Low
2015-01-02,146.46,149.16,2047136.0,148.29,139.459,144.54
2015-01-05,143.37,146.47,5765577.0,145.45,136.5167,142.45
2015-01-06,144.16,146.0,3121249.0,143.46,137.269,141.58
2015-01-07,148.72,148.83,2369921.0,145.05,141.611,144.878
2015-01-08,152.17,153.14,3467860.0,149.84,144.8961,149.81
2015-01-09,152.74,153.64,1889157.0,152.45,145.4388,151.8
2015-01-12,151.97,153.59,1588949.0,152.79,144.7056,150.79
2015-01-13,152.0,154.98,1490157.0,153.03,144.7342,150.96
2015-01-14,152.11,152.47,1401790.0,150.71,144.8389,149.05
2015-01-15,152.31,153.562,1454258.0,152.6,145.0294,151.12
2015-01-16,153.33,153.5,1166742.0,152.21,146.0006,151.39
2015-01-20,153.73,154.99,1095934.0,154.67,146.3815,151.27
2015-01-21,154.24,155.18,1456077.0,152.81,146.8671,152.425
2015-01-22,156.5,157.22,1128715.0,155.0,149.0191,154.01
2015-01-23,156.19,157.3,995810.0,156.4,148.7239,155.652
2015-01-26,155.54,156.41,1089297.0,156.35,148.105,154.4
2015-01-27,152.94,154.87,1444865.0,153.8,145.6293,152.5
2015-01-28,152.16,155.5,2019771.0,154.19,144.8865,152.04
2015-01-29,157.93,158.1499,2239523.0,153.71,150.3807,153.71
2015-01-30,156.95,159.2,2361945.0,156.31,149.4476,155.94
2015-02-02,159.19,159.61,1464576.0,157.29,151.5805,154.69
2015-02-03,160.48,161.72,2038099.0,158.48,152.8088,157.7
2015-02-04,161.84,163.24,1627830.0,160.19,154.1038,160.032
2015-02-05,163.03,164.0,1092760.0,163.27,155.2369,161.92
2015-02-06,162.24,164.22,1053664.0,164.22,154.4847,161.7403
2015-02-09,162.97,164.29,1665467.0,161.78,155.1798,161.0601
2015-02-10,164.89,165.075,1265710.0,164.79,157.008,163.41
2015-02-11,166.29,167.0,1753833.0,164.41,158.3411,164.26
2015-02-12,167.29,168.006,1245230.0,167.33,159.2933,166.46
2015-02-13,167.14,167.6,969200.0,167.4,159.1505,166.11
