,date,APO
0,2000-02-08,-4.2458
1,2000-02-09,-3.5336
2,2000-02-10,-3.0131
3,2000-02-11,-2.4322
4,2000-02-14,-1.9604
5,2000-02-15,-1.4392
6,2000-02-16,-0.8974
7,2000-02-17,-0.799
8,2000-02-18,-0.8647
9,2000-02-22,-1.1438
10,2000-02-23,-1.4773
11,2000-02-24,-1.6757
12,2000-02-25,-2.6247
13,2000-02-28,-3.106
14,2000-02-29,-3.9388
15,2000-03-01,-4.2981
16,2000-03-02,-4.4558
17,2000-03-03,-4.5342
18,2000-03-06,-4.8048
19,2000-03-07,-5.1604
20,2000-03-08,-5.0299
21,2000-03-09,-4.401
22,2000-03-10,-3.8458
23,2000-03-13,-3.3588
24,2000-03-14,-2.6013
25,2000-03-15,-1.8511
26,2000-03-16,-0.7907
27,2000-03-17,0.1007
28,2000-03-20,0.766
29,2000-03-21,1.2104
30,2000-03-22,2.1233
31,2000-03-23,3.1947
32,2000-03-24,3.9977
33,2000-03-27,4.1653
34,2000-03-28,4.0853
35,2000-03-29,4.3365
36,2000-03-30,4.6733
37,2000-03-31,5.1376
38,2000-04-03,4.7796
39,2000-04-04,3.9941
40,2000-04-05,3.1928
41,2000-04-06,1.982
42,2000-04-07,0.9653
43,2000-04-10,-0.7987
44,2000-04-11,-2.8574
45,2000-04-12,-4.3956
46,2000-04-13,-5.8567
47,2000-04-14,-7.6171
48,2000-04-17,-8.9422
49,2000-04-18,-10.4123
50,2000-04-19,-10.7954
51,2000-04-20,-10.9651
52,2000-04-24,-11.5052
53,2000-04-25,-11.7372
54,2000-04-26,-12.3626
55,2000-04-27,-12.4498
56,2000-04-28,-12.338
57,2000-05-01,-11.3541
58,2000-05-02,-10.5273
59,2000-05-03,-9.5355
60,2000-05-04,-8.6853
61,2000-05-05,-8.0847
62,2000-05-08,-7.5339
63,2000-05-09,-6.9829
64,2000-05-10,-6.0696
65,2000-05-11,-5.3988
66,2000-05-12,-4.6559
67,2000-05-15,-4.0529
68,2000-05-16,-3.3215
69,2000-05-17,-3.0941
70,2000-05-18,-2.7208
71,2000-05-19,-2.6287
72,2000-05-22,-2.5703
73,2000-05-23,-2.8108
74,2000-05-24,-2.7684
75,2000-05-25,-2.5612
76,2000-05-26,-2.2935
77,2000-05-30,-2.0692
78,2000-05-31,-2.4339
79,2000-06-01,-2.6497
80,2000-06-02,-2.8506
81,2000-06-05,-2.8058
82,2000-06-06,-2.515
83,2000-06-07,-1.9486
84,2000-06-08,-1.5228
85,2000-06-09,-0.9872
86,2000-06-12,-0.7407
87,2000-06-13,-0.0849
88,2000-06-14,0.6436
89,2000-06-15,1.2174
90,2000-06-16,1.8057
91,2000-06-19,2.3427
92,2000-06-20,2.8261
93,2000-06-21,3.5424
94,2000-06-22,3.9977
95,2000-06-23,4.2122
96,2000-06-26,4.5912
97,2000-06-27,4.8956
98,2000-06-28,5.3342
99,2000-06-29,5.5724
100,2000-06-30,5.8087
101,2000-07-03,5.7329
102,2000-07-05,5.5718
103,2000-07-06,5.5006
104,2000-07-07,5.3412
105,2000-07-10,4.6647
106,2000-07-11,4.1096
107,2000-07-12,3.811
108,2000-07-13,3.4507
109,2000-07-14,3.1369
110,2000-07-17,2.7137
111,2000-07-18,2.4501
112,2000-07-19,1.6364
113,2000-07-20,0.937
114,2000-07-21,0.3515
115,2000-07-24,-0.4438
116,2000-07-25,-1.3903
117,2000-07-26,-2.1333
118,2000-07-27,-2.7315
119,2000-07-28,-3.1935
120,2000-07-31,-3.6507
121,2000-08-01,-4.1587
122,2000-08-02,-4.5041
123,2000-08-03,-4.8624
124,2000-08-04,-4.818
