,date,APO
125,2000-08-07,-4.9423
126,2000-08-08,-4.5653
127,2000-08-09,-4.0367
128,2000-08-10,-3.5088
129,2000-08-11,-2.7961
130,2000-08-14,-2.1838
131,2000-08-15,-1.7222
132,2000-08-16,-1.3107
133,2000-08-17,-0.735
134,2000-08-18,-0.2553
135,2000-08-21,0.0955
136,2000-08-22,0.5399
137,2000-08-23,0.9005
138,2000-08-24,0.7274
139,2000-08-25,0.5861
140,2000-08-28,0.5154
141,2000-08-29,0.3758
142,2000-08-30,0.1548
143,2000-08-31,-0.0729
144,2000-09-01,-0.172
145,2000-09-05,-0.3085
146,2000-09-06,-0.4243
147,2000-09-07,-0.5237
148,2000-09-08,-0.683
149,2000-09-11,-0.7893
150,2000-09-12,-1.0008
151,2000-09-13,-1.131
152,2000-09-14,-1.2697
153,2000-09-15,-1.4453
154,2000-09-18,-1.6587
155,2000-09-19,-1.7733
156,2000-09-20,-1.9629
157,2000-09-21,-2.1713
158,2000-09-22,-2.3891
159,2000-09-25,-2.7267
160,2000-09-26,-2.9588
161,2000-09-27,-3.2562
162,2000-09-28,-3.4414
163,2000-09-29,-3.7015
164,2000-10-02,-3.7971
165,2000-10-03,-3.8921
166,2000-10-04,-3.9117
167,2000-10-05,-4.1149
168,2000-10-06,-4.2837
169,2000-10-09,-4.5163
170,2000-10-10,-4.6393
171,2000-10-11,-4.5449
172,2000-10-12,-4.6582
173,2000-10-13,-4.6042
174,2000-10-16,-4.787
175,2000-10-17,-4.9029
176,2000-10-18,-4.8883
177,2000-10-19,-4.2
178,2000-10-20,-3.3637
179,2000-10-23,-2.7219
180,2000-10-24,-2.1692
181,2000-10-25,-1.4367
182,2000-10-26,-0.6206
183,2000-10-27,0.2397
184,2000-10-30,1.2396
185,2000-10-31,2.2065
186,2000-11-01,3.5433
187,2000-11-02,4.8269
188,2000-11-03,5.9349
189,2000-11-06,6.2165
190,2000-11-07,6.2217
191,2000-11-08,6.3354
192,2000-11-09,6.5228
193,2000-11-10,6.5717
194,2000-11-13,6.3199
195,2000-11-14,5.8509
196,2000-11-15,5.3381
197,2000-11-16,4.8366
198,2000-11-17,4.2253
199,2000-11-20,3.4484
200,2000-11-21,2.7387
201,2000-11-22,1.9495
202,2000-11-24,1.2032
203,2000-11-27,0.9685
204,2000-11-28,0.5764
205,2000-11-29,0.2712
206,2000-11-30,-0.3253
207,2000-12-01,-1.1626
208,2000-12-04,-1.9899
209,2000-12-05,-2.4446
210,2000-12-06,-2.9996
211,2000-12-07,-3.5659
212,2000-12-08,-4.0912
213,2000-12-11,-4.4692
214,2000-12-12,-5.0529
215,2000-12-13,-5.7018
216,2000-12-14,-6.0832
217,2000-12-15,-6.6269
218,2000-12-18,-6.5374
219,2000-12-19,-6.6547
220,2000-12-20,-6.9405
221,2000-12-21,-7.3347
222,2000-12-22,-7.2804
223,2000-12-26,-6.9528
224,2000-12-27,-6.7495
225,2000-12-28,-7.0041
226,2000-12-29,-7.3168
227,2001-01-02,-7.5161
228,2001-01-03,-7.2999
229,2001-01-04,-6.5067
230,2001-01-05,-5.7094
231,2001-01-08,-4.7452
232,2001-01-09,-3.6718
233,2001-01-10,-2.7409
234,2001-01-11,-1.9722
235,2001-01-12,-1.1751
236,2001-01-16,-0.5063
237,2001-01-17,0.1994
238,2001-01-18,1.1686
239,2001-01-19,2.5238
240,2001-01-22,3.4724
241,2001-01-23,4.3551
242,2001-01-24,5.2197
243,2001-01-25,5.8069
244,2001-01-26,6.2
245,2001-01-29,6.411
246,2001-01-30,6.2678
247,2001-01-31,6.2201
248,2001-02-01,6.4254
249,2001-02-02,6.5454
250,2001-02-05,6.486
251,2001-02-06,5.9237
252,2001-02-07,5.484
253,2001-02-08,4.8991
254,2001-02-09,4.1512
255,2001-02-12,3.4997
256,2001-02-13,2.6671
257,2001-02-14,1.794
258,2001-02-15,1.1439
259,2001-02-16,0.661
260,2001-02-20,0.0855
261,2001-02-21,-0.4003
262,2001-02-22,-1.0639
263,2001-02-23,-1.6946
264,2001-02-26,-2.2783
265,2001-02-27,-2.4551
266,2001-02-28,-2.4225
267,2001-03-01,-2.3255
268,2001-03-02,-2.2101
269,2001-03-05,-2.1204
270,2001-03-06,-1.8925
271,2001-03-07,-1.4643
272,2001-03-08,-1.0246
273,2001-03-09,-0.8199
274,2001-03-12,-0.6892
275,2001-03-13,-0.6479
276,2001-03-14,-0.8058
277,2001-03-15,-0.9388
278,2001-03-16,-0.9192
279,2001-03-19,-1.0347
280,2001-03-20,-1.1203
281,2001-03-21,-1.4011
282,2001-03-22,-1.6933
283,2001-03-23,-1.9674
284,2001-03-26,-2.1275
285,2001-03-27,-2.0337
286,2001-03-28,-1.7197
287,2001-03-29,-1.5871
288,2001-03-30,-1.5103
289,2001-04-02,-1.2975
290,2001-04-03,-1.1581
291,2001-04-04,-1.0695
292,2001-04-05,-0.6446
293,2001-04-06,-0.0119
294,2001-04-09,0.2329
295,2001-04-10,0.4068
296,2001-04-11,0.7154
297,2001-04-12,0.9856
298,2001-04-16,1.3622
299,2001-04-17,1.6863
300,2001-04-18,2.0624
301,2001-04-19,2.5489
302,2001-04-20,3.2737
303,2001-04-23,4.0728
304,2001-04-24,4.4732
305,2001-04-25,5.0067
306,2001-04-26,5.3727
307,2001-04-27,5.3365
308,2001-04-30,5.4502
309,2001-05-01,5.5926
310,2001-05-02,5.8131
311,2001-05-03,6.0053
312,2001-05-04,5.8644
313,2001-05-07,5.5273
314,2001-05-08,5.1142
315,2001-05-09,4.7322
316,2001-05-10,4.2972
317,2001-05-11,3.6015
318,2001-05-14,3.1069
319,2001-05-15,2.7381
320,2001-05-16,2.3937
321,2001-05-17,1.9005
322,2001-05-18,1.4517
323,2001-05-21,1.2192
324,2001-05-22,0.8163
325,2001-05-23,0.3602
326,2001-05-24,0.0899
327,2001-05-25,0.0221
328,2001-05-29,-0.0012
329,2001-05-30,-0.0548
330,2001-05-31,-0.0792
331,2001-06-01,0.0683
332,2001-06-04,0.1399
333,2001-06-05,0.2983
334,2001-06-06,0.4768
335,2001-06-07,0.7493
336,2001-06-08,0.8574
337,2001-06-11,0.921
338,2001-06-12,0.8998
339,2001-06-13,0.908
340,2001-06-14,0.9096
341,2001-06-15,0.9036
342,2001-06-18,0.8319
343,2001-06-19,0.6603
344,2001-06-20,0.5196
345,2001-06-21,0.2292
346,2001-06-22,-0.0523
347,2001-06-25,-0.481
348,2001-06-26,-0.814
349,2001-06-27,-0.986
350,2001-06-28,-1.0245
351,2001-06-29,-0.9589
352,2001-07-02,-0.7742
353,2001-07-03,-0.5531
354,2001-07-05,-0.3469
355,2001-07-06,-0.3315
356,2001-07-09,-0.5072
357,2001-07-10,-0.7285
358,2001-07-11,-0.7581
359,2001-07-12,-0.4904
360,2001-07-13,-0.3512
361,2001-07-16,-0.2517
362,2001-07-17,-0.2757
363,2001-07-18,-0.4186
364,2001-07-19,-0.2733
365,2001-07-20,-0.3227
366,2001-07-23,-0.3714
367,2001-07-24,-0.2844
368,2001-07-25,-0.1583
369,2001-07-26,0.0456
370,2001-07-27,0.1113
371,2001-07-30,-0.2166
372,2001-07-31,-0.5442
373,2001-08-01,-0.8452
374,2001-08-02,-1.1059
375,2001-08-03,-1.2491
376,2001-08-06,-1.5315
377,2001-08-07,-1.5116
378,2001-08-08,-1.4767
379,2001-08-09,-1.3758
380,2001-08-10,-1.4242
381,2001-08-13,-1.4787
382,2001-08-14,-1.5052
383,2001-08-15,-1.6726
384,2001-08-16,-1.7312
385,2001-08-17,-1.7398
386,2001-08-20,-1.8033
387,2001-08-21,-1.9125
388,2001-08-22,-1.9391
389,2001-08-23,-2.1012
390,2001-08-24,-1.9308
391,2001-08-27,-1.8915
392,2001-08-28,-2.0456
393,2001-08-29,-2.2772
394,2001-08-30,-2.5176
395,2001-08-31,-2.6632
396,2001-09-04,-3.0128
397,2001-09-05,-3.0478
398,2001-09-06,-3.2133
399,2001-09-07,-3.2359
400,2001-09-10,-3.1129
401,2001-09-17,-3.0928
402,2001-09-18,-3.2827
403,2001-09-19,-3.506
404,2001-09-20,-3.7954
405,2001-09-21,-4.0853
406,2001-09-24,-3.9765
407,2001-09-25,-3.8968
408,2001-09-26,-3.828
409,2001-09-27,-3.9671
410,2001-09-28,-3.854
411,2001-10-01,-3.7667
412,2001-10-02,-3.7731
413,2001-10-03,-3.3214
414,2001-10-04,-2.9824
415,2001-10-05,-2.6078
416,2001-10-08,-1.8469
417,2001-10-09,-1.1446
418,2001-10-10,-0.6518
419,2001-10-11,-0.0823
420,2001-10-12,0.4484
421,2001-10-15,1.0846
422,2001-10-16,1.6008
423,2001-10-17,2.0199
424,2001-10-18,2.3002
425,2001-10-19,2.3432
426,2001-10-22,2.554
427,2001-10-23,2.4906
428,2001-10-24,2.4947
429,2001-10-25,2.8271
430,2001-10-26,2.9446
431,2001-10-29,2.8394
432,2001-10-30,2.7835
433,2001-10-31,2.5275
434,2001-11-01,2.365
435,2001-11-02,2.3725
436,2001-11-05,2.4504
437,2001-11-06,2.5242
438,2001-11-07,2.4342
439,2001-11-08,2.4517
440,2001-11-09,2.4386
441,2001-11-12,2.3974
442,2001-11-13,2.4931
443,2001-11-14,2.5809
444,2001-11-15,2.7762
445,2001-11-16,3.0468
446,2001-11-19,3.0477
447,2001-11-20,3.0987
448,2001-11-21,2.9483
449,2001-11-23,2.6087
450,2001-11-26,2.3601
451,2001-11-27,2.0788
452,2001-11-28,1.7765
453,2001-11-29,1.5277
454,2001-11-30,1.109
455,2001-12-03,0.9257
456,2001-12-04,0.7696
457,2001-12-05,0.64
458,2001-12-06,0.4401
459,2001-12-07,0.2703
460,2001-12-10,0.3203
461,2001-12-11,0.3101
462,2001-12-12,0.3643
463,2001-12-13,0.5178
464,2001-12-14,0.7818
465,2001-12-17,0.9514
466,2001-12-18,1.2169
467,2001-12-19,1.4679
468,2001-12-20,1.5751
469,2001-12-21,1.4673
470,2001-12-24,1.3081
471,2001-12-26,1.2213
472,2001-12-27,1.2368
473,2001-12-28,1.1876
474,2001-12-31,0.9613
475,2002-01-02,0.9359
476,2002-01-03,0.9278
477,2002-01-04,0.7226
478,2002-01-07,0.4419
479,2002-01-08,0.2581
480,2002-01-09,0.2476
481,2002-01-10,0.2191
482,2002-01-11,0.2304
483,2002-01-14,0.282
484,2002-01-15,0.389
485,2002-01-16,0.3875
486,2002-01-17,0.5806
487,2002-01-18,0.5492
488,2002-01-22,0.286
489,2002-01-23,-0.0467
490,2002-01-24,-0.2675
491,2002-01-25,-0.5333
492,2002-01-28,-0.7312
493,2002-01-29,-1.0354
494,2002-01-30,-1.365
495,2002-01-31,-1.6144
496,2002-02-01,-2.0112
497,2002-02-04,-2.3214
498,2002-02-05,-2.7896
499,2002-02-06,-2.9772
500,2002-02-07,-3.1175
501,2002-02-08,-3.1292
502,2002-02-11,-3.1069
503,2002-02-12,-3.0749
504,2002-02-13,-2.9824
505,2002-02-14,-2.7396
506,2002-02-15,-2.6317
507,2002-02-19,-2.632
508,2002-02-20,-2.527
509,2002-02-21,-2.3821
510,2002-02-22,-2.2008
511,2002-02-25,-1.9727
512,2002-02-26,-1.6419
513,2002-02-27,-1.5337
514,2002-02-28,-1.5308
515,2002-03-01,-1.3371
516,2002-03-04,-1.1638
517,2002-03-05,-1.0194
518,2002-03-06,-0.7288
519,2002-03-07,-0.4283
520,2002-03-08,-0.1331
521,2002-03-11,0.3668
522,2002-03-12,0.7506
523,2002-03-13,0.9646
524,2002-03-14,1.1844
525,2002-03-15,1.4456
526,2002-03-18,1.6723
527,2002-03-19,1.6832
528,2002-03-20,1.4562
529,2002-03-21,1.2659
530,2002-03-22,1.0536
531,2002-03-25,0.857
532,2002-03-26,0.4954
533,2002-03-27,0.0674
534,2002-03-28,-0.1342
535,2002-04-01,-0.3671
536,2002-04-02,-0.6681
537,2002-04-03,-1.0757
538,2002-04-04,-1.4691
539,2002-04-05,-1.9022
540,2002-04-08,-2.0991
541,2002-04-09,-2.3899
542,2002-04-10,-2.4665
543,2002-04-11,-2.5177
544,2002-04-12,-2.484
545,2002-04-15,-2.5262
546,2002-04-16,-2.4983
547,2002-04-17,-2.5143
548,2002-04-18,-2.3528
549,2002-04-19,-2.0919
550,2002-04-22,-1.947
551,2002-04-23,-1.7767
552,2002-04-24,-1.776
553,2002-04-25,-1.544
554,2002-04-26,-1.6133
555,2002-04-29,-1.475
556,2002-04-30,-1.4658
557,2002-05-01,-1.4616
558,2002-05-02,-1.7089
559,2002-05-03,-1.9181
560,2002-05-06,-2.1143
561,2002-05-07,-2.3388
562,2002-05-08,-2.3017
563,2002-05-09,-2.2956
564,2002-05-10,-2.2969
565,2002-05-13,-2.2613
566,2002-05-14,-1.8896
567,2002-05-15,-1.6758
568,2002-05-16,-1.3643
569,2002-05-17,-1.1387
570,2002-05-20,-0.8315
571,2002-05-21,-0.4777
572,2002-05-22,0.1033
573,2002-05-23,0.6187
574,2002-05-24,0.5958
575,2002-05-28,0.8002
576,2002-05-29,1.103
577,2002-05-30,1.1508
578,2002-05-31,0.9011
579,2002-06-03,0.6227
580,2002-06-04,0.2012
581,2002-06-05,-0.1407
582,2002-06-06,-0.3027
583,2002-06-07,-0.2906
584,2002-06-10,-0.425
585,2002-06-11,-0.7283
586,2002-06-12,-0.8044
587,2002-06-13,-0.8288
588,2002-06-14,-0.5729
589,2002-06-17,-0.4565
590,2002-06-18,-0.2616
591,2002-06-19,0.0858
592,2002-06-20,0.4592
593,2002-06-21,0.6058
594,2002-06-24,0.8549
595,2002-06-25,1.0542
596,2002-06-26,1.1588
597,2002-06-27,1.2496
598,2002-06-28,1.1408
599,2002-07-01,1.0938
600,2002-07-02,0.8463
601,2002-07-03,0.5448
602,2002-07-05,0.3421
603,2002-07-08,0.2113
604,2002-07-09,0.0487
605,2002-07-10,-0.0631
606,2002-07-11,-0.2799
607,2002-07-12,-0.3785
608,2002-07-15,-0.5688
609,2002-07-16,-0.8465
610,2002-07-17,-1.04
611,2002-07-18,-1.113
612,2002-07-19,-1.0397
613,2002-07-22,-1.1424
614,2002-07-23,-1.6583
615,2002-07-24,-1.8524
616,2002-07-25,-2.2112
617,2002-07-26,-2.4388
618,2002-07-29,-2.6022
619,2002-07-30,-2.7547
620,2002-07-31,-2.8354
621,2002-08-01,-3.0168
622,2002-08-02,-3.2754
623,2002-08-05,-3.4484
624,2002-08-06,-3.4253
625,2002-08-07,-3.246
626,2002-08-08,-2.6571
627,2002-08-09,-2.3565
628,2002-08-12,-1.6411
629,2002-08-13,-1.2732
630,2002-08-14,-1.0169
631,2002-08-15,-0.7828
632,2002-08-16,-0.5025
633,2002-08-19,0.0129
634,2002-08-20,0.5947
635,2002-08-21,1.2459
636,2002-08-22,1.8286
637,2002-08-23,2.2134
638,2002-08-26,2.3815
639,2002-08-27,2.4801
640,2002-08-28,2.311
641,2002-08-29,2.437
642,2002-08-30,2.1441
643,2002-09-03,1.8507
644,2002-09-04,1.7031
645,2002-09-05,1.2798
646,2002-09-06,1.0176
647,2002-09-09,0.6058
648,2002-09-10,0.1122
649,2002-09-11,-0.3676
650,2002-09-12,-0.8371
651,2002-09-13,-1.1128
652,2002-09-16,-1.2026
653,2002-09-17,-1.4449
654,2002-09-18,-1.528
655,2002-09-19,-1.5184
656,2002-09-20,-1.4944
657,2002-09-23,-1.3764
658,2002-09-24,-1.3904
659,2002-09-25,-1.3617
660,2002-09-26,-1.4747
661,2002-09-27,-1.4819
662,2002-09-30,-1.401
663,2002-10-01,-1.3106
664,2002-10-02,-1.2419
665,2002-10-03,-1.2171
666,2002-10-04,-1.3329
667,2002-10-07,-1.3443
668,2002-10-08,-1.3928
669,2002-10-09,-1.3796
670,2002-10-10,-1.2476
671,2002-10-11,-1.1647
672,2002-10-14,-0.9638
673,2002-10-15,-0.5152
674,2002-10-16,0.0168
675,2002-10-17,0.3109
676,2002-10-18,0.7085
677,2002-10-21,1.174
678,2002-10-22,1.6828
679,2002-10-23,2.2179
680,2002-10-24,2.6041
681,2002-10-25,3.1175
682,2002-10-28,3.409
683,2002-10-29,3.4126
684,2002-10-30,3.4436
685,2002-10-31,3.2742
686,2002-11-01,3.2285
687,2002-11-04,3.2554
688,2002-11-05,3.0519
689,2002-11-06,3.0131
690,2002-11-07,2.9748
691,2002-11-08,2.737
692,2002-11-11,2.5681
693,2002-11-12,2.3183
694,2002-11-13,2.2036
695,2002-11-14,2.1136
696,2002-11-15,2.0154
697,2002-11-18,1.9453
698,2002-11-19,1.886
699,2002-11-20,1.7628
700,2002-11-21,1.5737
701,2002-11-22,1.3863
702,2002-11-25,1.376
703,2002-11-26,1.3571
704,2002-11-27,1.4622
705,2002-11-29,1.5541
706,2002-12-02,1.4998
707,2002-12-03,1.3215
708,2002-12-04,1.1324
709,2002-12-05,0.9642
710,2002-12-06,0.9242
711,2002-12-09,0.6644
712,2002-12-10,0.3064
713,2002-12-11,0.0651
714,2002-12-12,-0.1767
715,2002-12-13,-0.3691
716,2002-12-16,-0.6103
717,2002-12-17,-0.8585
718,2002-12-18,-1.1924
719,2002-12-19,-1.4386
720,2002-12-20,-1.641
721,2002-12-23,-1.6377
722,2002-12-24,-1.6648
723,2002-12-26,-1.5819
724,2002-12-27,-1.5958
725,2002-12-30,-1.6062
726,2002-12-31,-1.5758
727,2003-01-02,-1.3011
728,2003-01-03,-1.1878
729,2003-01-06,-1.0717
730,2003-01-07,-0.7949
731,2003-01-08,-0.5684
732,2003-01-09,-0.2653
733,2003-01-10,-0.0749
734,2003-01-13,0.1451
735,2003-01-14,0.3807
736,2003-01-15,0.6249
737,2003-01-16,0.7716
738,2003-01-17,0.8497
739,2003-01-21,0.7786
740,2003-01-22,0.668
741,2003-01-23,0.469
742,2003-01-24,0.1512
743,2003-01-27,-0.0717
744,2003-01-28,-0.473
745,2003-01-29,-0.8508
746,2003-01-30,-1.3453
747,2003-01-31,-1.8863
748,2003-02-03,-2.3265
749,2003-02-04,-2.7622
750,2003-02-05,-2.906
751,2003-02-06,-3.0269
752,2003-02-07,-3.1983
753,2003-02-10,-3.3628
754,2003-02-11,-3.3642
755,2003-02-12,-3.2713
756,2003-02-13,-3.085
757,2003-02-14,-2.9907
758,2003-02-18,-3.7442
759,2003-02-19,-4.4477
760,2003-02-20,-5.2423
761,2003-02-21,-5.8893
762,2003-02-24,-6.5583
763,2003-02-25,-7.2957
764,2003-02-26,-8.1387
765,2003-02-27,-9.0547
766,2003-02-28,-9.8997
767,2003-03-03,-10.7027
768,2003-03-04,-11.666
769,2003-03-05,-12.7481
770,2003-03-06,-11.9062
771,2003-03-07,-10.9736
772,2003-03-10,-10.1001
773,2003-03-11,-9.3041
774,2003-03-12,-8.3927
775,2003-03-13,-7.4815
776,2003-03-14,-6.5274
777,2003-03-17,-5.505
778,2003-03-18,-4.52
779,2003-03-19,-3.4783
780,2003-03-20,-2.4368
781,2003-03-21,-1.4117
782,2003-03-24,-0.4088
783,2003-03-25,0.6294
784,2003-03-26,0.8099
785,2003-03-27,0.9769
786,2003-03-28,1.0632
787,2003-03-31,1.041
788,2003-04-01,0.9878
789,2003-04-02,0.9114
790,2003-04-03,0.804
791,2003-04-04,0.6435
792,2003-04-07,0.4969
793,2003-04-08,0.336
794,2003-04-09,0.2183
795,2003-04-10,0.099
796,2003-04-11,-0.0242
797,2003-04-14,-0.0937
798,2003-04-15,-0.163
799,2003-04-16,-0.1854
800,2003-04-17,-0.1707
801,2003-04-21,-0.234
802,2003-04-22,-0.2661
803,2003-04-23,-0.2055
804,2003-04-24,-0.1577
805,2003-04-25,-0.1454
806,2003-04-28,-0.0283
807,2003-04-29,0.1022
808,2003-04-30,0.2056
809,2003-05-01,0.2767
810,2003-05-02,0.369
811,2003-05-05,0.4158
812,2003-05-06,0.4229
813,2003-05-07,0.4195
814,2003-05-08,0.3644
815,2003-05-09,0.3931
816,2003-05-12,0.4342
817,2003-05-13,0.4637
818,2003-05-14,0.4364
819,2003-05-15,0.4275
820,2003-05-16,0.389
821,2003-05-19,0.3025
822,2003-05-20,0.1635
823,2003-05-21,0.039
824,2003-05-22,-0.1282
825,2003-05-23,-0.2488
826,2003-05-27,-0.3006
827,2003-05-28,-0.4324
828,2003-05-29,-0.5301
829,2003-05-30,-0.6024
830,2003-06-02,-0.6513
831,2003-06-03,-0.7141
832,2003-06-04,-0.739
833,2003-06-05,-0.729
834,2003-06-06,-0.736
835,2003-06-09,-0.6835
836,2003-06-10,-0.5856
837,2003-06-11,-0.4929
838,2003-06-12,-0.4231
839,2003-06-13,-0.3516
840,2003-06-16,-0.2556
841,2003-06-17,-0.1278
842,2003-06-18,-0.0036
843,2003-06-19,0.0925
844,2003-06-20,0.1869
845,2003-06-23,0.3281
846,2003-06-24,0.4922
847,2003-06-25,0.5988
848,2003-06-26,0.6449
849,2003-06-27,0.6459
850,2003-06-30,0.6431
851,2003-07-01,0.6939
852,2003-07-02,0.7377
853,2003-07-03,0.7023
854,2003-07-07,0.6987
855,2003-07-08,0.7156
856,2003-07-09,0.7018
857,2003-07-10,0.7179
858,2003-07-11,0.7582
859,2003-07-14,0.8092
860,2003-07-15,0.7974
861,2003-07-16,0.8099
862,2003-07-17,0.8201
863,2003-07-18,0.8045
864,2003-07-21,0.6941
865,2003-07-22,0.6176
866,2003-07-23,0.496
867,2003-07-24,0.3528
868,2003-07-25,0.2729
869,2003-07-28,0.2271
870,2003-07-29,0.1517
871,2003-07-30,0.0369
872,2003-07-31,-0.0621
873,2003-08-01,-0.2096
874,2003-08-04,-0.2686
875,2003-08-05,-0.3722
876,2003-08-06,-0.4051
877,2003-08-07,-0.444
878,2003-08-08,-0.4665
879,2003-08-11,-0.4648
880,2003-08-12,-0.4965
881,2003-08-13,-0.4999
882,2003-08-14,-0.4991
883,2003-08-15,-0.5039
884,2003-08-18,-0.5012
885,2003-08-19,-0.4337
886,2003-08-20,-0.3796
887,2003-08-21,-0.2821
888,2003-08-22,-0.2165
889,2003-08-25,-0.1356
890,2003-08-26,-0.0735
891,2003-08-27,-0.0076
892,2003-08-28,0.0551
893,2003-08-29,0.1118
894,2003-09-02,0.2334
895,2003-09-03,0.3984
896,2003-09-04,0.5505
897,2003-09-05,0.6145
898,2003-09-08,0.7202
899,2003-09-09,0.8131
900,2003-09-10,0.8712
901,2003-09-11,0.899
902,2003-09-12,0.9431
903,2003-09-15,1.0028
904,2003-09-16,1.0743
905,2003-09-17,1.1281
906,2003-09-18,1.1698
907,2003-09-19,1.1404
908,2003-09-22,1.0615
909,2003-09-23,1.007
910,2003-09-24,0.8692
911,2003-09-25,0.796
912,2003-09-26,0.7824
913,2003-09-29,0.7653
914,2003-09-30,0.6596
915,2003-10-01,0.5952
916,2003-10-02,0.4876
917,2003-10-03,0.4337
918,2003-10-06,0.3047
919,2003-10-07,0.1356
920,2003-10-08,0.0548
921,2003-10-09,-0.0248
922,2003-10-10,-0.0058
923,2003-10-13,0.0238
924,2003-10-14,0.0708
925,2003-10-15,0.0639
926,2003-10-16,0.1185
927,2003-10-17,0.1107
928,2003-10-20,0.1427
929,2003-10-21,0.1271
930,2003-10-22,0.1025
931,2003-10-23,0.0676
932,2003-10-24,-0.0054
933,2003-10-27,-0.0573
934,2003-10-28,-0.1279
935,2003-10-29,-0.1879
936,2003-10-30,-0.3112
937,2003-10-31,-0.4746
938,2003-11-03,-0.629
939,2003-11-04,-0.7612
940,2003-11-05,-0.9667
941,2003-11-06,-1.1386
942,2003-11-07,-1.2788
943,2003-11-10,-1.4028
944,2003-11-11,-1.3399
945,2003-11-12,-1.2959
946,2003-11-13,-1.3013
947,2003-11-14,-1.2724
948,2003-11-17,-1.2086
949,2003-11-18,-1.1515
950,2003-11-19,-1.1342
951,2003-11-20,-1.0624
952,2003-11-21,-0.9864
953,2003-11-24,-0.905
954,2003-11-25,-0.8114
955,2003-11-26,-0.7072
956,2003-11-28,-0.5924
957,2003-12-01,-0.486
958,2003-12-02,-0.452
959,2003-12-03,-0.3901
960,2003-12-04,-0.2642
961,2003-12-05,-0.1658
962,2003-12-08,-0.0962
963,2003-12-09,0.0012
964,2003-12-10,0.128
965,2003-12-11,0.1806
