,date,CCI
0,2000-01-31,-142.0916
1,2000-02-01,-74.3697
2,2000-02-02,-61.0088
3,2000-02-03,-42.0089
4,2000-02-04,17.5359
5,2000-02-07,16.8358
6,2000-02-08,72.6897
7,2000-02-09,24.3276
8,2000-02-10,11.4748
9,2000-02-11,-54.955
10,2000-02-14,-70.6392
11,2000-02-15,-92.8356
12,2000-02-16,-99.7876
13,2000-02-17,-81.1883
14,2000-02-18,-123.0566
15,2000-02-22,-151.3135
16,2000-02-23,-141.6464
17,2000-02-24,-119.9875
18,2000-02-25,-139.8458
19,2000-02-28,-145.1627
20,2000-02-29,-137.7232
21,2000-03-01,-105.4079
22,2000-03-02,-69.7102
23,2000-03-03,-25.359
24,2000-03-06,-68.5813
25,2000-03-07,-43.2771
26,2000-03-08,-34.5154
27,2000-03-09,53.7822
28,2000-03-10,121.863
29,2000-03-13,74.6493
30,2000-03-14,32.1062
31,2000-03-15,4.9645
32,2000-03-16,6.4472
33,2000-03-17,89.6681
34,2000-03-20,87.705
35,2000-03-21,145.8129
36,2000-03-22,173.3968
37,2000-03-23,256.543
38,2000-03-24,226.7999
39,2000-03-27,108.4704
40,2000-03-28,85.0306
41,2000-03-29,104.3044
42,2000-03-30,64.2226
43,2000-03-31,75.2376
44,2000-04-03,-116.3059
45,2000-04-04,-158.3054
46,2000-04-05,-162.5863
47,2000-04-06,-145.354
48,2000-04-07,-114.1949
49,2000-04-10,-108.7786
50,2000-04-11,-116.6744
51,2000-04-12,-133.6996
52,2000-04-13,-116.0702
53,2000-04-14,-127.7348
54,2000-04-17,-115.9857
55,2000-04-18,-80.753
56,2000-04-19,-74.5791
57,2000-04-20,-74.1855
58,2000-04-24,-150.5422
59,2000-04-25,-124.8717
60,2000-04-26,-114.6993
61,2000-04-27,-105.7502
62,2000-04-28,-96.4956
63,2000-05-01,-60.2496
64,2000-05-02,-72.7516
65,2000-05-03,-74.2016
66,2000-05-04,-64.9407
67,2000-05-05,-52.8195
68,2000-05-08,-54.9621
69,2000-05-09,-72.9854
70,2000-05-10,-98.4748
71,2000-05-11,-83.5508
72,2000-05-12,-50.1368
73,2000-05-15,-46.9917
74,2000-05-16,-26.0682
75,2000-05-17,-66.976
76,2000-05-18,-111.2391
77,2000-05-19,-181.7595
78,2000-05-22,-211.0537
79,2000-05-23,-168.9268
80,2000-05-24,-109.5779
81,2000-05-25,-160.5307
82,2000-05-26,-157.4581
83,2000-05-30,-103.0511
84,2000-05-31,-101.599
85,2000-06-01,-43.8382
86,2000-06-02,-6.1882
87,2000-06-05,31.8051
88,2000-06-06,98.3398
89,2000-06-07,106.1966
90,2000-06-08,102.2974
91,2000-06-09,74.3048
92,2000-06-12,35.0801
93,2000-06-13,36.2516
94,2000-06-14,123.2588
95,2000-06-15,150.5942
96,2000-06-16,140.2268
97,2000-06-19,138.4785
98,2000-06-20,149.3875
99,2000-06-21,214.3816
100,2000-06-22,188.6351
101,2000-06-23,133.2609
102,2000-06-26,126.7384
103,2000-06-27,112.4692
104,2000-06-28,101.9095
105,2000-06-29,70.8664
106,2000-06-30,78.9124
107,2000-07-03,83.6065
108,2000-07-05,62.7778
109,2000-07-06,78.4629
110,2000-07-07,93.2474
111,2000-07-10,60.6653
112,2000-07-11,45.2923
113,2000-07-12,44.7005
114,2000-07-13,29.3242
115,2000-07-14,20.5688
116,2000-07-17,-23.347
117,2000-07-18,-48.5263
118,2000-07-19,-356.5975
119,2000-07-20,-264.4778
120,2000-07-21,-250.058
121,2000-07-24,-241.3746
122,2000-07-25,-211.0463
123,2000-07-26,-185.5307
124,2000-07-27,-138.4247
125,2000-07-28,-97.7529
126,2000-07-31,-90.6834
127,2000-08-01,-96.1948
128,2000-08-02,-80.7582
129,2000-08-03,-71.6867
130,2000-08-04,-73.0826
131,2000-08-07,-48.15
132,2000-08-08,3.8427
133,2000-08-09,33.8502
134,2000-08-10,15.5128
135,2000-08-11,11.8987
136,2000-08-14,25.2426
137,2000-08-15,32.2505
138,2000-08-16,10.3225
139,2000-08-17,23.3617
140,2000-08-18,2.7065
141,2000-08-21,-12.2679
142,2000-08-22,24.3745
143,2000-08-23,-12.1433
144,2000-08-24,-18.1574
145,2000-08-25,-7.5227
146,2000-08-28,3.2605
147,2000-08-29,18.6341
148,2000-08-30,-81.2778
149,2000-08-31,-65.81
150,2000-09-01,-100.9836
151,2000-09-05,-97.0209
152,2000-09-06,-121.9895
153,2000-09-07,-55.5726
154,2000-09-08,-124.3966
155,2000-09-11,-205.8538
156,2000-09-12,-224.0783
157,2000-09-13,-208.2725
158,2000-09-14,-247.0358
159,2000-09-15,-288.8502
160,2000-09-18,-244.5483
161,2000-09-19,-151.3681
162,2000-09-20,-142.2574
163,2000-09-21,-117.6166
164,2000-09-22,-139.3976
165,2000-09-25,-135.8957
166,2000-09-26,-93.8422
167,2000-09-27,-116.7572
168,2000-09-28,-105.1379
169,2000-09-29,-118.0426
170,2000-10-02,-121.9236
171,2000-10-03,-148.4641
172,2000-10-04,-172.398
173,2000-10-05,-147.5304
174,2000-10-06,-136.438
175,2000-10-09,-145.7626
176,2000-10-10,-122.3685
177,2000-10-11,-93.0097
178,2000-10-12,-92.6931
179,2000-10-13,-107.3486
180,2000-10-16,-133.2455
181,2000-10-17,-124.5021
182,2000-10-18,-112.8962
183,2000-10-19,70.8056
184,2000-10-20,133.5446
185,2000-10-23,108.6576
186,2000-10-24,84.2299
187,2000-10-25,86.5441
188,2000-10-26,113.4788
189,2000-10-27,158.5408
190,2000-10-30,156.5317
191,2000-10-31,131.2818
192,2000-11-01,120.9628
193,2000-11-02,116.5695
194,2000-11-03,89.4451
195,2000-11-06,88.9036
196,2000-11-07,94.9053
197,2000-11-08,80.2528
198,2000-11-09,76.7739
199,2000-11-10,47.2478
200,2000-11-13,16.3709
201,2000-11-14,45.8706
202,2000-11-15,66.7141
203,2000-11-16,61.2409
204,2000-11-17,35.1886
205,2000-11-20,-27.8561
206,2000-11-21,-5.8408
207,2000-11-22,-37.0653
208,2000-11-24,54.4767
209,2000-11-27,150.1933
210,2000-11-28,-79.9503
211,2000-11-29,-210.1186
212,2000-11-30,-369.4093
213,2000-12-01,-283.303
214,2000-12-04,-222.6053
215,2000-12-05,-133.8394
216,2000-12-06,-139.2047
217,2000-12-07,-170.0932
218,2000-12-08,-124.8655
219,2000-12-11,-79.434
220,2000-12-12,-59.1561
221,2000-12-13,-55.2495
222,2000-12-14,-67.9925
223,2000-12-15,-137.1944
224,2000-12-18,-142.5329
225,2000-12-19,-159.9331
226,2000-12-20,-183.9652
227,2000-12-21,-152.8066
228,2000-12-22,-102.5173
229,2000-12-26,-81.0828
230,2000-12-27,-82.7002
231,2000-12-28,-86.1296
232,2000-12-29,-86.2653
233,2001-01-02,-81.7992
234,2001-01-03,-43.0269
235,2001-01-04,-13.5595
236,2001-01-05,-4.5943
237,2001-01-08,-7.5338
238,2001-01-09,45.0885
239,2001-01-10,73.472
240,2001-01-11,119.6015
241,2001-01-12,118.6309
242,2001-01-16,102.7849
243,2001-01-17,115.1775
244,2001-01-18,123.4448
245,2001-01-19,189.0616
246,2001-01-22,156.1496
247,2001-01-23,139.3898
248,2001-01-24,151.0119
249,2001-01-25,134.4822
250,2001-01-26,126.3391
251,2001-01-29,124.0127
252,2001-01-30,103.1473
253,2001-01-31,72.7417
254,2001-02-01,63.77
255,2001-02-02,55.9611
256,2001-02-05,47.8008
257,2001-02-06,62.8402
258,2001-02-07,79.4591
259,2001-02-08,59.9027
260,2001-02-09,-14.3625
261,2001-02-12,-56.0708
262,2001-02-13,-56.3693
263,2001-02-14,-116.2281
264,2001-02-15,-99.7935
265,2001-02-16,-147.6262
266,2001-02-20,-150.273
267,2001-02-21,-130.0584
268,2001-02-22,-140.807
269,2001-02-23,-103.15
270,2001-02-26,-26.8511
271,2001-02-27,0.5925
272,2001-02-28,-13.4334
273,2001-03-01,-32.9128
274,2001-03-02,-72.1542
275,2001-03-05,-50.3171
276,2001-03-06,20.1103
277,2001-03-07,74.1363
278,2001-03-08,49.7762
279,2001-03-09,-83.5937
280,2001-03-12,-231.1141
281,2001-03-13,-162.8187
282,2001-03-14,-135.643
283,2001-03-15,-98.6819
284,2001-03-16,-99.9672
285,2001-03-19,-81.4805
286,2001-03-20,-88.2935
287,2001-03-21,-149.5204
288,2001-03-22,-89.3971
289,2001-03-23,-4.8846
290,2001-03-26,9.6451
291,2001-03-27,48.5628
292,2001-03-28,15.9873
293,2001-03-29,1.9723
294,2001-03-30,-21.0568
295,2001-04-02,11.9855
296,2001-04-03,-52.2323
297,2001-04-04,-91.7189
298,2001-04-05,61.9905
299,2001-04-06,77.7726
300,2001-04-09,96.4867
301,2001-04-10,183.1072
302,2001-04-11,200.2289
303,2001-04-12,199.6366
304,2001-04-16,157.4747
305,2001-04-17,143.3714
306,2001-04-18,199.3071
307,2001-04-19,212.0779
308,2001-04-20,202.6822
309,2001-04-23,144.8255
310,2001-04-24,128.6945
311,2001-04-25,121.2609
312,2001-04-26,113.2182
313,2001-04-27,78.748
314,2001-04-30,75.7186
315,2001-05-01,81.9724
316,2001-05-02,83.9033
317,2001-05-03,63.7518
318,2001-05-04,73.2252
319,2001-05-07,93.3505
320,2001-05-08,96.6587
321,2001-05-09,73.4694
322,2001-05-10,69.8344
