Date,Low,High,Volume,Adj Close,Close,Open
2016-11-01,21.78,23.55,32216510.0,22.9219,23.0,22.1
2016-11-02,22.6358,23.265,10755328.0,22.8322,22.91,22.67
2016-11-03,22.94,24.3493,8083097.0,24.068,24.15,22.96
2016-11-04,23.56,25.5,6878500.0,25.1144,25.2,23.82
2016-11-07,24.89,26.41,8377025.0,24.9948,25.08,25.54
2016-11-08,24.3,26.59,6469979.0,26.4,26.4,24.3
2016-11-09,26.0,29.14,10675856.0,28.72,28.72,26.83
2016-11-10,28.3,29.7,8189887.0,29.1,29.1,29.08
2016-11-11,27.63,29.99,5337239.0,29.3,29.3,29.18
2016-11-14,28.61,29.94,5156737.0,29.62,29.62,29.5
2016-11-15,28.83,30.23,3668883.0,30.21,30.21,28.94
2016-11-16,29.66,31.69,6150098.0,31.42,31.42,29.69
2016-11-17,30.77,32.02,4693203.0,31.85,31.85,31.3
2016-11-18,30.16,31.77,4421730.0,30.42,30.42,31.73
2016-11-21,29.501,30.98,2986107.0,30.69,30.69,30.89
2016-11-22,30.54,31.91,4182721.0,31.34,31.34,31.1
2016-11-23,30.0,31.93,4112265.0,31.51,31.51,31.0
2016-11-25,31.11,32.19,3109628.0,31.7,31.7,31.24
2016-11-28,30.7,31.8,5121935.0,30.86,30.86,31.48
2016-11-29,29.73,30.4999,4927708.0,29.73,29.73,30.02
2016-11-30,28.85,30.44,5131539.0,28.97,28.97,30.06
2016-12-01,28.6,29.42,5006186.0,28.88,28.88,28.84
2016-12-02,28.73,29.625,3870676.0,29.04,29.04,28.86
2016-12-05,28.89,31.2768,7034136.0,31.22,31.22,29.03
2016-12-06,30.21,31.19,3248595.0,31.15,31.15,30.71
2016-12-07,30.7653,31.89,5778259.0,30.9,30.9,31.3
2016-12-08,30.8,31.84,3064978.0,31.31,31.31,31.28
2016-12-09,31.04,32.11,4344295.0,32.05,32.05,31.31
2016-12-12,30.85,32.35,3416012.0,31.24,31.24,32.16
2016-12-13,30.03,31.73,4215143.0,30.24,30.24,31.4
2016-12-14,30.03,31.32,3176106.0,30.45,30.45,30.11
2016-12-15,29.65,30.44,3753185.0,29.79,29.79,30.16
2016-12-16,29.16,30.42,8131428.0,29.4,29.4,29.65
2016-12-19,28.75,29.49,2569496.0,29.29,29.29,28.89
2016-12-20,29.77,30.33,3826971.0,30.16,30.16,29.9
2016-12-21,30.02,30.43,1811751.0,30.43,30.43,30.19
2016-12-22,29.54,30.35,3766694.0,29.75,29.75,30.21
2016-12-23,29.34,30.13,2887430.0,29.71,29.71,29.79
2016-12-27,29.4,30.04,1708938.0,29.65,29.65,29.58
2016-12-28,29.35,30.17,2751053.0,29.43,29.43,29.78
2016-12-29,28.6,29.44,3224941.0,28.89,28.89,29.43
2016-12-30,28.01,29.3779,2685997.0,28.08,28.08,28.97
2017-01-03,28.17,28.87,2746634.0,28.83,28.83,28.6
2017-01-04,29.02,30.3,3339121.0,30.26,30.26,29.02
2017-01-05,30.115,30.93,2444552.0,30.65,30.65,30.18
2017-01-06,30.31,31.1,2086333.0,30.68,30.68,30.69
2017-01-09,29.215,30.88,4199908.0,29.48,29.48,30.88
2017-01-10,29.73,31.1,3824409.0,30.98,30.98,29.83
2017-01-11,31.08,32.0,3068269.0,31.97,31.97,31.08
2017-01-12,32.51,33.5,4519604.0,33.04,33.04,33.0
2017-01-13,32.53,33.43,3026692.0,33.01,33.01,32.82
2017-01-17,32.52,33.04,1382009.0,32.64,32.64,32.97
2017-01-18,32.64,34.83,6417754.0,34.81,34.81,32.95
2017-01-19,34.18,35.63,5050105.0,35.42,35.42,34.22
2017-01-20,34.93,35.74,5330764.0,35.66,35.66,35.4
2017-01-23,35.455,36.395,5244644.0,36.29,36.29,35.92
2017-01-24,37.18,38.38,11911148.0,37.5,37.5,37.18
2017-01-25,36.31,38.94,13583342.0,36.53,36.53,38.58
2017-01-26,35.51,37.0699,5735365.0,36.3,36.3,36.22
2017-01-27,36.27,37.39,3617786.0,36.67,36.67,36.3
2017-01-30,35.77,36.59,3002400.0,36.55,36.55,36.48
2017-01-31,36.01,37.23,2690080.0,36.45,36.45,36.78
