Date,Open,Adj Close,High,Close,Volume,Low
2015-01-02,160.16,148.5456,162.59,159.89,2606798.0,158.6
2015-01-05,157.43,146.7804,159.5999,157.99,4085487.0,154.26
2015-01-06,158.78,142.0515,158.88,152.9,5075771.0,152.33
2015-01-07,154.09,147.0126,158.58,158.24,3502412.0,153.01
2015-01-08,159.605,146.4831,162.76,157.67,4560248.0,155.15
2015-01-09,158.76,144.6807,158.76,155.73,3923169.0,154.63
2015-01-12,156.22,145.136,157.99,156.22,2700746.0,154.99
2015-01-13,158.89,144.1326,160.96,155.14,4570440.0,153.41
2015-01-14,152.87,144.1512,155.54,155.16,3426427.0,152.57
2015-01-15,156.15,141.1411,157.7399,151.92,2896036.0,151.53
2015-01-16,152.43,147.1892,158.44,158.43,3513169.0,152.03
2015-01-20,159.21,146.4181,159.73,157.6,3664373.0,154.651
2015-01-21,155.38,146.2137,158.27,157.38,2804857.0,155.38
2015-01-22,158.17,148.2483,159.78,159.57,3783059.0,154.11
2015-01-23,159.8,148.4712,160.01,159.81,2249418.0,158.25
2015-01-26,159.62,148.3969,161.48,159.73,3149585.0,157.67
2015-01-27,158.53,147.6165,160.74,158.89,2876264.0,158.278
2015-01-28,158.32,143.6681,160.91,154.64,4927113.0,154.51
2015-01-29,154.89,145.2753,156.84,156.37,3435503.0,153.76
2015-01-30,155.55,141.4569,156.87,152.26,5318204.0,151.53
2015-02-02,153.41,141.6799,153.97,152.5,3832457.0,149.4
2015-02-03,153.76,141.4291,153.76,152.23,4298435.0,148.87
2015-02-04,150.13,140.7044,153.15,151.45,5827111.0,147.42
2015-02-05,152.29,142.4789,153.9,153.36,3564405.0,151.02
2015-02-06,154.32,140.6579,154.76,151.4,3242714.0,150.6
2015-02-09,150.0,139.3666,151.83,150.01,3236388.0,149.2
2015-02-10,150.5,142.4789,152.63,152.57,4108620.0,149.05
2015-02-11,153.3,142.9832,155.24,153.11,3998663.0,152.265
2015-02-12,154.83,143.0485,154.83,153.18,2935775.0,151.12
2015-02-13,153.62,143.3287,153.81,153.48,3592054.0,150.21
2015-02-17,153.52,144.0384,154.85,154.24,3895609.0,153.0
2015-02-18,154.22,145.4766,156.23,155.78,3297879.0,153.64
2015-02-19,155.97,145.7287,156.42,156.05,3913882.0,155.04
2015-02-20,156.43,147.2322,157.75,157.66,4411081.0,155.06
2015-02-23,158.07,147.942,159.2,158.42,3094261.0,157.81
2015-02-24,159.0,146.9614,159.11,157.37,2060548.0,156.25
2015-02-25,157.76,147.6244,158.78,158.08,3262822.0,155.74
2015-02-26,158.48,148.4556,159.4,158.97,3379767.0,156.0
2015-02-27,159.1,147.2883,159.24,157.72,2471953.0,157.2
2015-03-02,159.29,149.0719,159.9,159.63,3483532.0,157.62
2015-03-03,159.4,148.0727,159.4,158.56,2334873.0,157.51
2015-03-04,158.05,148.661,159.74,159.19,3098640.0,156.81
2015-03-05,160.0,149.0439,161.48,159.6,2470899.0,158.857
2015-03-06,158.5,144.6361,159.92,154.88,4091352.0,154.0
2015-03-09,154.85,144.7575,155.74,155.01,2134997.0,152.78
2015-03-10,152.87,143.4221,155.625,153.58,3509639.0,152.29
2015-03-11,154.12,142.6003,154.27,152.7,2487097.0,152.42
2015-03-12,154.26,144.0478,154.77,154.25,1889403.0,152.95
2015-03-13,153.28,144.0571,154.75,154.26,2737945.0,152.58
2015-03-16,157.73,152.2471,163.2,163.03,5201626.0,156.74
2015-03-17,162.25,152.2844,163.76,163.07,2620805.0,161.739
2015-03-18,162.97,155.5249,167.5993,166.54,3690084.0,161.83
2015-03-19,167.67,157.9249,169.22,169.11,3756562.0,166.97
2015-03-20,170.4,158.8494,172.36,170.1,9040559.0,168.51
2015-03-23,168.9,155.5249,169.21,166.54,3880023.0,165.7001
2015-03-24,166.06,155.03,168.25,166.01,2555571.0,165.4
2015-03-25,166.0,149.9965,166.79,160.62,4010098.0,160.57
2015-03-26,158.84,149.9311,162.69,160.55,3146525.0,157.36
2015-03-27,161.26,151.8362,163.445,162.59,2438867.0,161.0
2015-03-30,164.51,153.4377,165.82,164.305,2388057.0,163.05
2015-03-31,163.32,149.2774,164.09,159.85,3110965.0,159.72
2015-04-01,159.37,146.7093,159.39,157.1,5134960.0,154.64
2015-04-02,157.12,145.57,158.18,155.88,3015172.0,155.03
2015-04-06,154.8,145.0096,157.27,155.28,3185653.0,154.6
2015-04-07,155.62,146.8774,159.47,157.28,2942591.0,155.28
2015-04-08,157.68,149.7256,160.99,160.33,3031213.0,157.66
2015-04-09,161.23,150.8089,161.8,161.49,2860553.0,159.07
